727556,"SILVER BAY",MN,-6.0,47.200,-91.400,331
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2003,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-16.0,A,7,-21.0,A,7,62,A,7,974,E,9,330,A,7,1.5,A,7,16100,B,7,360,A,7,0.6,E,8,0.053,F,8,0.300,F,8,0,1,D,9,00,C,8
01/01/2003,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,E,9,-15.0,A,7,-21.0,A,7,57,A,7,974,E,9,40,A,7,1.5,A,7,16100,B,7,77777,A,7,0.6,E,8,0.053,F,8,0.300,F,8,0,1,D,9,00,C,8
01/01/2003,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,5,E,9,-14.0,A,7,-19.0,A,7,63,A,7,974,E,9,30,A,7,1.5,A,7,16100,B,7,77777,A,7,0.6,E,8,0.053,F,8,0.300,F,8,0,1,D,9,00,C,8
01/01/2003,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,7,E,9,-13.0,A,7,-18.0,A,7,63,A,7,974,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.053,F,8,0.300,F,8,0,1,D,9,00,C,8
01/01/2003,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,7,E,9,-13.0,A,7,-17.0,A,7,69,A,7,974,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.053,F,8,0.300,F,8,0,1,D,9,00,C,8
01/01/2003,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,8,E,9,-12.0,A,7,-17.0,A,7,63,A,7,974,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.053,F,8,0.300,F,8,0,1,D,9,00,C,8
01/01/2003,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,-12.0,A,7,-16.0,A,7,69,A,7,974,E,9,10,A,7,1.5,A,7,16100,B,7,300,A,7,0.7,E,8,0.053,F,8,0.300,F,8,0,1,D,9,00,C,8
01/01/2003,08:00,1,130,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-12.0,A,7,-16.0,A,7,69,A,7,974,E,9,10,A,7,1.5,A,7,16100,B,7,300,A,7,0.7,E,8,0.053,F,8,0.300,F,8,0,1,D,9,00,C,8
01/01/2003,09:00,108,1415,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-11.0,A,7,-16.0,A,7,63,A,7,974,E,9,10,A,7,2.6,A,7,16100,B,7,300,A,7,0.7,E,8,0.053,F,8,0.300,F,8,0,1,D,9,00,C,8
01/01/2003,10:00,275,1415,174,2,9,411,2,21,94,2,9,174,2,9,302,2,21,115,2,9,181,2,25,10,E,9,10,E,9,-9.0,A,7,-14.0,A,7,64,A,7,974,E,9,50,A,7,1.5,A,7,6400,B,7,360,A,7,0.7,E,8,0.053,F,8,0.300,F,8,0,1,D,9,00,C,8
