722547,"GEORGETOWN (AWOS)",TX,-6.0,30.683,-97.683,240
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1996,11:00,675,1415,151,1,25,0,1,28,151,1,25,175,1,25,0,1,28,175,1,25,634,1,45,10,E,9,10,A,7,11.6,A,7,7.7,A,7,77,A,7,985,E,9,320,A,7,6.6,A,7,16100,B,7,480,A,7,1.6,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1996,12:00,791,1415,150,1,25,0,1,28,150,1,25,177,1,25,0,1,28,177,1,25,681,1,45,10,E,9,10,A,7,10.5,A,7,7.2,A,7,80,A,7,985,E,9,310,A,7,6.6,A,7,11300,B,7,300,A,7,1.6,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1996,13:00,835,1415,159,1,25,0,1,28,159,1,25,188,1,25,0,1,28,188,1,25,731,1,45,10,E,9,10,A,7,9.4,A,7,6.1,A,7,80,A,7,985,E,9,310,A,7,7.2,A,7,16100,B,7,300,A,7,1.5,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1996,14:00,802,1415,153,1,25,0,1,28,153,1,25,181,1,25,0,1,28,181,1,25,696,1,45,10,E,9,10,A,7,9.4,A,7,5.5,A,7,77,A,7,985,E,9,320,A,7,7.2,A,7,16100,B,7,360,A,7,1.5,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1996,15:00,696,1415,131,1,25,0,1,28,131,1,25,154,1,25,0,1,28,154,1,25,576,1,45,10,E,9,10,A,7,8.8,A,7,5.0,A,7,77,A,7,985,E,9,330,A,7,7.2,A,7,16100,B,7,360,A,7,1.4,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1996,16:00,523,1415,114,1,25,0,1,28,114,1,25,131,1,25,0,1,28,131,1,25,453,1,45,10,E,9,10,A,7,8.3,A,7,2.7,A,7,68,A,7,985,E,9,320,A,7,7.7,A,7,16100,B,7,540,A,7,1.4,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1996,17:00,296,1415,60,1,25,0,1,28,60,1,25,68,1,25,0,1,28,68,1,25,220,1,45,10,E,9,10,A,7,6.6,A,7,2.7,A,7,76,A,7,985,E,9,320,A,7,6.1,A,7,16100,B,7,480,A,7,1.4,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1996,18:00,54,908,8,1,25,0,1,28,8,1,25,10,1,25,0,1,28,10,1,25,31,1,45,10,E,9,10,A,7,5.0,A,7,0.0,A,7,70,A,7,985,E,9,330,A,7,8.7,A,7,16100,B,7,540,A,7,1.3,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1996,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,4.4,A,7,-0.6,A,7,70,A,7,985,E,9,350,A,7,8.7,A,7,16100,B,7,540,A,7,1.3,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1996,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.8,A,7,0.0,A,7,76,A,7,985,E,9,330,A,7,7.2,A,7,16100,B,7,480,A,7,1.2,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1996,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,2.7,A,7,-0.6,A,7,78,A,7,985,E,9,320,A,7,7.2,A,7,16100,B,7,630,A,7,1.2,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1996,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,-1.7,A,7,69,A,7,985,E,9,330,A,7,6.6,A,7,16100,B,7,630,A,7,1.1,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1996,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,-1.7,A,7,69,A,7,985,E,9,340,A,7,7.2,A,7,16100,B,7,630,A,7,1.1,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1996,24:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,-1.7,A,7,69,A,7,985,E,9,330,A,7,6.6,A,7,16100,B,7,570,A,7,1.1,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,-1.2,A,7,71,A,7,985,E,9,340,A,7,10.2,A,7,16100,B,7,570,A,7,1.0,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,-1.7,A,7,69,A,7,985,E,9,330,A,7,5.6,A,7,16100,B,7,570,A,7,1.0,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,-2.3,A,7,65,A,7,985,E,9,340,A,7,7.7,A,7,16100,B,7,570,A,7,0.9,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,-2.3,A,7,65,A,7,985,E,9,330,A,7,6.6,A,7,16100,B,7,690,A,7,0.9,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,-2.8,A,7,63,A,7,985,E,9,340,A,7,6.6,A,7,16100,B,7,690,A,7,0.9,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.3,A,7,-3.4,A,7,59,A,7,985,E,9,330,A,7,7.2,A,7,16100,B,7,810,A,7,0.8,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,B,8,7,B,8,3.1,B,8,-3.4,B,8,60,A,7,985,E,9,340,B,8,7.5,B,8,16100,C,8,11405,B,8,0.8,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,08:00,32,719,8,1,25,57,1,28,6,1,25,10,1,25,25,1,28,8,1,25,12,1,45,3,E,9,3,A,7,2.7,A,7,-3.9,A,7,59,A,7,985,E,9,340,A,7,7.7,A,7,16100,B,7,77777,A,7,0.8,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,09:00,260,1415,137,1,25,294,1,28,83,1,25,142,1,25,210,1,28,104,1,25,166,1,45,3,B,8,3,B,8,3.3,A,7,-3.4,A,7,59,A,7,985,E,9,330,A,7,8.2,A,7,16100,B,7,77777,B,8,0.8,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,10:00,494,1415,298,1,25,508,1,28,120,1,25,311,1,25,470,1,28,146,1,25,230,1,45,3,B,8,3,B,8,5.0,A,7,-3.4,A,7,53,A,7,985,E,9,340,A,7,7.7,A,7,16100,B,7,77777,B,8,0.9,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,11:00,676,1415,494,1,25,786,1,28,119,1,25,517,1,25,768,1,28,149,1,25,246,1,45,3,B,8,3,B,8,6.6,A,7,-3.4,A,7,47,A,7,985,E,9,360,A,7,9.2,A,7,16100,B,7,77777,B,8,0.9,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,12:00,793,1415,399,1,25,509,1,28,114,1,25,425,1,25,512,1,28,138,1,25,263,1,45,3,E,9,3,A,7,7.2,A,7,-3.9,A,7,43,A,7,985,E,9,350,A,7,6.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,13:00,836,1415,515,1,25,662,1,28,123,1,25,548,1,25,668,1,28,152,1,25,294,1,45,2,E,9,2,A,7,6.6,A,7,-3.9,A,7,45,A,7,985,E,9,330,A,7,7.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,14:00,804,1415,561,1,28,594,1,31,223,1,28,587,1,28,604,1,31,243,1,28,514,1,50,3,E,9,3,E,9,6.6,A,7,-3.4,A,7,47,A,7,985,E,9,330,A,7,7.7,A,7,16100,B,7,20397,E,9,0.9,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,15:00,698,1415,370,1,28,440,1,31,152,1,28,395,1,28,440,1,31,176,1,28,316,1,50,3,E,9,3,E,9,7.2,A,7,-4.5,A,7,41,A,7,985,E,9,340,A,7,6.6,A,7,16100,B,7,18493,E,9,0.9,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,16:00,526,1415,305,1,28,528,1,31,109,1,28,326,1,28,499,1,31,139,1,28,208,1,50,4,E,9,4,E,9,5.5,A,7,-4.5,A,7,46,A,7,985,E,9,330,A,7,8.2,A,7,16100,B,7,16860,E,9,0.9,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,17:00,299,1415,116,1,28,267,1,31,59,1,28,123,1,28,206,1,31,79,1,28,106,1,50,5,E,9,5,E,9,3.8,A,7,-4.5,A,7,52,A,7,985,E,9,340,A,7,7.7,A,7,16100,B,7,14927,E,9,0.9,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,18:00,56,932,18,1,28,57,1,31,15,1,28,20,1,28,20,1,31,19,1,28,25,1,50,5,E,9,5,E,9,3.3,A,7,-4.5,A,7,54,A,7,985,E,9,320,A,7,4.6,A,7,16100,B,7,13113,E,9,0.9,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,E,9,5,E,9,1.6,A,7,-5.0,A,7,59,A,7,985,E,9,310,A,7,2.0,A,7,16100,B,7,12260,E,9,1.0,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,E,9,6,E,9,2.2,A,7,-5.6,A,7,53,A,7,985,E,9,310,A,7,3.6,A,7,16100,B,7,9907,E,9,1.0,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,E,9,7,E,9,2.2,A,7,-6.2,A,7,51,A,7,985,E,9,300,A,7,3.6,A,7,16100,B,7,7553,E,9,1.0,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,8,E,9,8,E,9,2.2,A,7,-6.7,A,7,48,A,7,985,E,9,310,A,7,4.6,A,7,16100,B,7,5680,E,9,1.0,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,1.6,A,7,-6.7,A,7,51,A,7,985,E,9,310,A,7,4.1,A,7,16100,B,7,3927,E,9,1.0,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/02/1996,24:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,E,9,9,E,9,1.1,A,7,-7.3,A,7,50,A,7,985,E,9,310,A,7,5.1,A,7,16100,B,7,2113,E,9,1.0,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-0.6,A,7,-7.8,A,7,54,A,7,985,E,9,310,A,7,4.1,A,7,16100,B,7,180,E,9,1.0,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-1.7,A,7,-8.4,A,7,56,A,7,985,E,9,300,A,7,3.6,A,7,16100,B,7,150,E,9,1.0,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-2.3,A,7,-8.4,A,7,59,A,7,985,E,9,300,A,7,3.6,A,7,16100,B,7,180,E,9,1.0,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-2.3,A,7,-8.4,A,7,59,A,7,985,E,9,300,A,7,4.1,A,7,16100,B,7,180,E,9,1.1,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-2.8,A,7,-7.8,A,7,65,A,7,985,E,9,300,A,7,3.6,A,7,16100,B,7,180,E,9,1.1,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-3.4,A,7,-8.4,A,7,65,A,7,985,E,9,290,A,7,3.6,A,7,16100,B,7,180,E,9,1.1,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-3.4,A,7,-8.4,A,7,65,A,7,985,E,9,280,A,7,3.0,A,7,16100,B,7,180,E,9,1.1,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,08:00,32,696,3,1,28,0,1,31,3,1,28,4,1,28,0,1,31,4,1,28,12,1,50,10,E,9,10,E,9,-4.5,A,7,-7.8,A,7,75,A,7,985,E,9,260,A,7,3.0,A,7,16100,B,7,240,E,9,1.1,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,09:00,260,1415,40,1,28,0,1,31,40,1,28,46,1,28,0,1,31,46,1,28,153,1,50,10,E,9,10,E,9,-1.2,A,7,-7.3,A,7,60,A,7,985,E,9,280,A,7,4.6,A,7,16100,B,7,300,E,9,1.2,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,10:00,494,1415,86,1,28,0,1,31,86,1,28,100,1,28,0,1,31,100,1,28,355,1,50,10,E,9,10,E,9,1.1,A,7,-6.7,A,7,52,A,7,985,E,9,300,A,7,4.1,A,7,16100,B,7,240,E,9,1.2,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,11:00,676,1415,124,1,28,0,1,31,124,1,28,146,1,28,0,1,31,146,1,28,544,1,50,10,E,9,10,E,9,3.3,A,7,-7.3,A,7,43,A,7,985,E,9,270,A,7,4.1,A,7,16100,B,7,360,E,9,1.2,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,12:00,794,1415,148,1,28,0,1,31,148,1,28,175,1,28,0,1,31,175,1,28,674,1,50,10,E,9,10,E,9,7.2,A,7,-7.3,A,7,32,A,7,985,E,9,240,A,7,4.1,A,7,16100,B,7,390,E,9,1.2,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,13:00,838,1415,188,1,28,0,1,31,188,1,28,220,1,28,0,1,31,220,1,28,835,1,50,10,E,9,10,E,9,7.2,A,7,-7.3,A,7,32,A,7,985,E,9,250,A,7,3.6,A,7,16100,B,7,600,E,9,1.3,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,14:00,807,1415,275,1,28,142,1,31,194,1,28,305,1,28,149,1,31,220,1,28,510,1,50,10,E,9,9,E,9,9.4,A,7,-6.7,A,7,29,A,7,985,E,9,230,A,7,4.6,A,7,16100,B,7,1410,E,9,1.3,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,15:00,701,1415,154,1,28,0,1,31,154,1,28,179,1,28,0,1,31,179,1,28,656,1,50,10,E,9,10,E,9,10.0,A,7,-7.3,A,7,27,A,7,985,E,9,180,A,7,5.6,A,7,16100,B,7,900,E,9,1.3,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,16:00,529,1415,112,1,28,0,1,31,112,1,28,129,1,28,0,1,31,129,1,28,450,1,50,10,E,9,10,E,9,10.5,A,7,-7.3,A,7,26,A,7,985,E,9,210,A,7,4.1,A,7,16100,B,7,1080,E,9,1.3,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,17:00,303,1415,104,1,28,50,1,31,93,1,28,113,1,28,42,1,31,104,1,28,225,1,50,10,E,9,9,E,9,10.5,A,7,-7.3,A,7,26,A,7,985,E,9,190,A,7,5.1,A,7,16100,B,7,2100,E,9,1.4,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,18:00,58,955,14,1,28,10,1,31,13,1,28,15,1,28,6,1,31,15,1,28,33,1,50,10,E,9,9,E,9,8.8,A,7,-6.7,A,7,31,A,7,985,E,9,170,A,7,2.5,A,7,16100,B,7,2100,E,9,1.4,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,E,9,5,E,9,7.7,A,7,-6.7,A,7,33,A,7,985,E,9,170,A,7,3.6,A,7,16100,B,7,77777,E,9,1.4,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,5.5,A,7,-6.7,A,7,38,A,7,985,E,9,190,A,7,3.6,A,7,16100,B,7,1170,E,9,1.4,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,E,9,0,E,9,5.5,A,7,-6.2,A,7,40,A,7,985,E,9,190,A,7,4.6,A,7,16100,B,7,77777,E,9,1.5,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,E,9,5,E,9,5.0,A,7,-6.2,A,7,42,A,7,985,E,9,190,A,7,4.6,A,7,16100,B,7,77777,E,9,1.5,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,5.0,A,7,-6.2,A,7,42,A,7,985,E,9,200,A,7,5.1,A,7,16100,B,7,360,E,9,1.5,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/03/1996,24:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,5.0,A,7,-6.7,A,7,40,A,7,985,E,9,190,A,7,5.6,A,7,16100,B,7,600,E,9,1.6,E,8,0.057,F,8,0.180,F,8,0,1,D,9,00,C,8
01/04/1996,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,5.0,A,7,-6.7,A,7,40,A,7,985,E,9,190,A,7,9.2,A,7,16100,B,7,450,E,9,1.6,E,8,0.058,F,8,0.180,F,8,0,1,D,9,00,C,8
01/04/1996,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,E,9,4.4,A,7,-5.0,A,7,48,A,7,985,E,9,190,A,7,5.6,A,7,16100,B,7,390,E,9,1.6,E,8,0.058,F,8,0.180,F,8,0,1,D,9,00,C,8
01/04/1996,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3.8,A,7,-4.5,A,7,52,A,7,985,E,9,190,A,7,5.6,A,7,16100,B,7,450,E,9,1.6,E,8,0.058,F,8,0.180,F,8,0,1,D,9,00,C,8
01/04/1996,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3.8,A,7,-3.9,A,7,55,A,7,985,E,9,190,A,7,4.6,A,7,16100,B,7,750,E,9,1.7,E,8,0.058,F,8,0.180,F,8,0,1,D,9,00,C,8
01/04/1996,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3.8,A,7,-3.9,A,7,55,A,7,985,E,9,190,A,7,5.1,A,7,16100,B,7,360,E,9,1.7,E,8,0.058,F,8,0.180,F,8,0,1,D,9,00,C,8
