702756,"VALDEZ PIONEER FIEL",AK,-9.0,61.133,-146.267,38
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2001,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,A,7,0.0,A,7,-1.0,A,7,92,A,7,1008,E,9,0,A,7,0.0,A,7,16100,B,7,2100,A,7,0.7,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,E,9,-0.8,E,9,-2.8,E,9,85,A,7,1008,E,9,60,E,9,0.8,E,9,15735,C,8,2033,E,9,0.7,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,E,9,-1.5,E,9,-3.6,E,9,84,A,7,1008,E,9,140,E,9,2.0,E,9,15370,C,8,1966,E,9,0.7,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,E,9,-0.4,E,9,-3.4,E,9,78,A,7,1008,E,9,130,E,9,1.9,E,9,15006,C,8,1900,E,9,0.7,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,9,E,9,-0.3,E,9,-3.4,E,9,77,A,7,1008,E,9,0,E,9,0.0,E,9,14641,C,8,1833,E,9,0.7,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-0.2,E,9,-3.2,E,9,78,A,7,1008,E,9,0,E,9,0.0,E,9,14277,C,8,0,E,9,0.7,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-0.1,E,9,-3.1,E,9,78,A,7,1008,E,9,180,E,9,4.7,E,9,13912,C,8,0,E,9,0.7,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,08:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-0.1,E,9,-2.9,E,9,79,A,7,1008,E,9,50,E,9,2.1,E,9,13548,C,8,0,E,9,0.7,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,09:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,0.0,E,9,-2.9,E,9,79,A,7,1008,E,9,200,E,9,3.1,E,9,13183,C,8,0,E,9,0.7,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,10:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,0.1,E,9,-3.7,E,9,73,A,7,1008,E,9,160,E,9,0.9,E,9,12819,C,8,0,E,9,0.7,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,11:00,41,1380,4,1,28,0,1,31,4,1,28,0,1,28,0,1,31,0,1,28,0,1,50,10,E,9,10,E,9,0.2,E,9,-3.6,E,9,73,A,7,1008,E,9,160,E,9,6.0,E,9,12454,C,8,0,E,9,0.7,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,12:00,112,1415,16,1,28,0,1,31,16,1,28,19,1,28,0,1,31,19,1,28,59,1,50,10,E,9,10,E,9,-1.7,E,9,-3.4,E,9,87,A,7,1008,E,9,160,E,9,2.9,E,9,12090,C,8,0,E,9,0.7,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,13:00,146,1415,22,1,28,0,1,31,22,1,28,25,1,28,0,1,31,25,1,28,81,1,50,10,E,9,10,E,9,-1.6,E,9,-3.3,E,9,87,A,7,1008,E,9,100,E,9,2.8,E,9,11725,C,8,0,E,9,0.8,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,14:00,138,1415,21,1,28,0,1,31,21,1,28,24,1,28,0,1,31,24,1,28,77,1,50,10,E,9,10,E,9,-1.6,E,9,-3.2,E,9,87,A,7,1008,E,9,140,E,9,3.2,E,9,11361,C,8,0,E,9,0.8,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,15:00,90,1415,12,1,28,0,1,31,12,1,28,14,1,28,0,1,31,14,1,28,44,1,50,10,E,9,10,E,9,-2.5,E,9,-3.0,E,9,96,A,7,1008,E,9,170,E,9,3.7,E,9,10996,C,8,0,E,9,0.8,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,16:00,16,861,1,1,28,0,1,31,1,1,28,0,1,28,0,1,31,0,1,28,0,1,50,10,E,9,10,E,9,-2.4,E,9,-2.9,E,9,96,A,7,1008,E,9,160,E,9,3.6,E,9,10632,C,8,0,E,9,0.8,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,17:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-2.3,E,9,-2.8,E,9,96,A,7,1008,E,9,200,E,9,4.6,E,9,10267,C,8,0,E,9,0.8,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-3.2,E,9,-3.7,E,9,96,A,7,1008,E,9,180,E,9,1.9,E,9,9903,C,8,0,E,9,0.8,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-5.1,E,9,-5.1,E,9,100,A,7,1008,E,9,210,E,9,1.4,E,9,9538,C,8,0,E,9,0.8,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-4.0,E,9,-4.0,E,9,100,A,7,1008,E,9,220,E,9,1.3,E,9,9174,C,8,0,E,9,0.9,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
01/01/2001,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-4.0,E,9,-4.0,E,9,100,A,7,1008,E,9,180,E,9,1.7,E,9,8809,C,8,0,E,9,0.9,E,8,0.043,F,8,0.400,F,8,0,1,D,9,00,C,8
