725479,"CLARINDA",IA,-6.0,40.717,-95.033,303
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/2003,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,-2.0,A,7,-8.0,A,7,60,A,7,977,E,9,360,A,7,0.5,A,7,16100,B,7,77777,A,7,1.0,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,5,E,9,-2.0,A,7,-8.0,A,7,60,A,7,977,E,9,40,A,7,2.1,A,7,16100,B,7,77777,A,7,1.0,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-3.0,A,7,-8.0,A,7,65,A,7,977,E,9,360,A,7,0.5,A,7,16100,B,7,77777,A,7,0.9,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-3.0,A,7,-8.0,A,7,65,A,7,977,E,9,350,A,7,2.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-5.0,A,7,-8.0,A,7,77,A,7,977,E,9,360,A,7,1.5,A,7,16100,B,7,77777,A,7,0.8,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,7,E,9,-3.0,A,7,-7.0,A,7,71,A,7,977,E,9,10,A,7,3.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,7,E,9,-3.0,A,7,-7.0,A,7,71,A,7,977,E,9,360,A,7,0.5,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,08:00,6,342,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,9,E,9,4,E,9,-2.0,A,7,-7.0,A,7,65,A,7,977,E,9,30,A,7,3.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,09:00,159,1415,48,2,9,0,2,21,48,2,9,52,2,9,0,2,21,52,2,9,145,2,25,10,E,9,4,E,9,-2.0,A,7,-7.0,A,7,65,A,7,977,E,9,20,A,7,4.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,10:00,356,1415,103,2,9,6,2,21,101,2,9,114,2,9,3,2,21,113,2,9,343,2,25,9,E,9,4,E,9,-1.0,A,7,-7.0,A,7,60,A,7,977,E,9,40,A,7,5.7,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,11:00,506,1415,138,2,9,6,2,21,136,2,9,156,2,9,4,2,21,154,2,9,505,2,25,10,E,9,4,E,9,0.0,A,7,-7.0,A,7,55,A,7,977,E,9,40,A,7,5.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,12:00,598,1415,212,2,9,36,2,21,197,2,9,233,2,9,35,2,21,218,2,9,544,2,25,10,E,9,4,E,9,0.0,A,7,-8.0,A,7,51,A,7,977,E,9,30,A,7,5.7,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,13:00,624,1415,228,2,9,72,2,21,196,2,9,250,2,9,71,2,21,219,2,9,556,2,25,0,E,9,0,A,7,1.0,A,7,-9.0,A,7,43,A,7,977,E,9,40,A,7,5.7,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,14:00,584,1415,283,2,9,226,2,21,190,2,9,307,2,9,223,2,21,214,2,9,449,2,25,0,E,9,0,A,7,2.0,A,7,-8.0,A,7,44,A,7,977,E,9,30,A,7,5.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,15:00,479,1415,236,2,9,287,2,21,138,2,9,249,2,9,270,2,21,157,2,9,284,2,25,0,E,9,0,A,7,2.0,A,7,-9.0,A,7,40,A,7,977,E,9,50,A,7,4.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,16:00,318,1415,89,2,9,23,2,21,84,2,9,98,2,9,19,2,21,93,2,9,212,2,25,0,E,9,0,A,7,1.0,A,7,-8.0,A,7,47,A,7,977,E,9,30,A,7,5.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,17:00,114,1415,25,2,9,28,2,21,23,2,9,28,2,9,14,2,21,27,2,9,48,2,25,10,E,9,4,E,9,1.0,A,7,-8.0,A,7,47,A,7,977,E,9,10,A,7,3.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,18:00,0,35,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,6,E,9,5,A,7,0.0,A,7,-8.0,A,7,51,A,7,977,E,9,20,A,7,4.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,7,E,9,0.0,A,7,-8.0,A,7,51,A,7,977,E,9,20,A,7,4.6,A,7,16100,B,7,77777,A,7,0.8,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,7,B,8,-0.5,B,8,-8.0,B,8,53,A,7,977,E,9,20,B,8,4.7,B,8,16100,C,8,18538,B,8,0.8,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,8,B,8,-1.1,B,8,-8.2,B,8,55,A,7,977,E,9,20,B,8,4.8,B,8,16100,C,8,15077,B,8,0.8,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,8,B,8,-1.1,B,8,-7.8,B,8,57,A,7,977,E,9,20,B,8,4.9,B,8,16100,C,8,11615,B,8,0.9,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,9,B,8,-1.8,B,8,-8.3,B,8,57,A,7,977,E,9,20,B,8,4.9,B,8,16100,C,8,8153,B,8,0.9,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/01/2003,24:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-1.6,B,8,-7.9,B,8,58,A,7,977,E,9,20,B,8,5.0,B,8,16100,C,8,4692,B,8,0.9,E,8,0.064,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.0,A,7,-8.0,A,7,60,A,7,977,E,9,20,A,7,5.1,A,7,16100,B,7,1230,A,7,0.9,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-2.0,A,7,-8.0,A,7,60,A,7,977,E,9,10,A,7,3.6,A,7,16100,B,7,1200,A,7,0.9,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.0,A,7,-5.0,A,7,84,A,7,977,E,9,360,A,7,4.1,A,7,16100,B,7,2700,A,7,0.9,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.0,A,7,-5.0,A,7,84,A,7,977,E,9,10,A,7,4.6,A,7,16100,B,7,1230,A,7,0.9,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.0,A,7,-5.0,A,7,84,A,7,977,E,9,350,A,7,4.1,A,7,16100,B,7,1410,A,7,1.0,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-4.0,A,7,-6.0,A,7,84,A,7,977,E,9,360,A,7,1.0,A,7,16100,B,7,2100,A,7,1.0,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.0,A,7,-6.0,A,7,77,A,7,977,E,9,350,A,7,2.6,A,7,16100,B,7,2400,A,7,1.0,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,08:00,6,342,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-3.0,A,7,-6.0,A,7,77,A,7,977,E,9,360,A,7,2.6,A,7,16100,B,7,1800,A,7,0.9,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,09:00,159,1415,73,2,9,239,2,21,46,2,9,74,2,9,131,2,21,59,2,9,85,2,25,10,E,9,9,E,9,-3.0,A,7,-7.0,A,7,71,A,7,977,E,9,350,A,7,4.6,A,7,16100,B,7,2700,A,7,0.9,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,10:00,356,1415,184,2,9,327,2,21,101,2,9,188,2,9,270,2,21,119,2,9,191,2,25,6,E,9,6,E,9,-2.0,A,7,-7.0,A,7,65,A,7,977,E,9,350,A,7,6.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,11:00,507,1415,342,2,9,566,2,21,138,2,9,353,2,9,527,2,21,163,2,9,269,2,25,4,E,9,4,E,9,-1.0,A,7,-7.0,A,7,60,A,7,977,E,9,340,A,7,6.7,A,7,16100,B,7,77777,A,7,0.9,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,12:00,599,1415,331,2,9,364,2,21,176,2,9,352,2,9,365,2,21,196,2,9,379,2,25,0,E,9,0,E,9,0.0,A,7,-7.0,A,7,55,A,7,977,E,9,350,A,7,6.2,A,7,16100,B,7,77777,A,7,0.8,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,13:00,626,1415,402,2,9,564,2,21,152,2,9,423,2,9,553,2,21,177,2,9,307,2,25,0,E,9,0,E,9,0.0,A,7,-7.0,A,7,55,A,7,977,E,9,340,A,7,5.7,A,7,16100,B,7,77777,A,7,0.8,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,14:00,586,1415,405,2,9,755,2,21,91,2,9,425,2,9,724,2,21,123,2,9,183,2,25,0,E,9,0,E,9,1.0,A,7,-7.0,A,7,51,A,7,977,E,9,350,A,7,5.7,A,7,16100,B,7,77777,A,7,0.7,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,15:00,482,1415,330,2,9,732,2,21,79,2,9,343,2,9,671,2,21,113,2,9,152,2,25,0,E,9,0,E,9,1.0,A,7,-8.0,A,7,47,A,7,977,E,9,340,A,7,5.7,A,7,16100,B,7,77777,A,7,0.7,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,16:00,321,1415,183,2,9,586,2,21,49,2,9,190,2,9,475,2,21,82,2,9,92,2,25,0,E,9,0,E,9,1.0,A,7,-8.0,A,7,47,A,7,977,E,9,360,A,7,4.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,17:00,117,1415,41,2,9,228,2,21,22,2,9,42,2,9,117,2,21,32,2,9,39,2,25,0,E,9,0,E,9,0.0,A,7,-9.0,A,7,46,A,7,977,E,9,340,A,7,3.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,18:00,0,59,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,A,7,-2.0,A,7,-9.0,A,7,55,A,7,977,E,9,340,A,7,3.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-5.0,A,7,-10.0,A,7,65,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-7.0,A,7,-10.0,A,7,77,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-6.0,A,7,-9.0,A,7,77,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-7.0,A,7,-9.0,A,7,84,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-7.0,A,7,-9.0,A,7,84,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/02/2003,24:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-8.0,A,7,-10.0,A,7,84,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-9.0,A,7,-10.0,A,7,92,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-12.0,A,7,-12.0,A,7,100,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,-12.0,A,7,-13.0,A,7,91,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,6,E,9,-12.0,A,7,-13.0,A,7,91,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-11.0,A,7,-11.0,A,7,100,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-12.0,A,7,-13.0,A,7,91,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-13.0,A,7,-13.0,A,7,100,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,08:00,6,318,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,2,E,9,2,E,9,-12.0,A,7,-13.0,A,7,91,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,09:00,159,1415,49,2,9,0,2,21,49,2,9,53,2,9,0,2,21,53,2,9,147,2,25,0,E,9,0,E,9,-8.0,A,7,-10.0,A,7,84,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,10:00,357,1415,243,2,9,590,2,21,93,2,9,243,2,9,479,2,21,121,2,9,155,2,25,0,E,9,0,E,9,-5.0,A,7,-7.0,A,7,84,A,7,977,E,9,360,A,7,1.0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,11:00,508,1415,316,2,9,511,2,21,131,2,9,328,2,9,477,2,21,156,2,9,254,2,25,0,E,9,0,E,9,-1.0,A,7,-6.0,A,7,66,A,7,977,E,9,180,A,7,3.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,12:00,601,1415,412,2,9,733,2,21,99,2,9,430,2,9,704,2,21,130,2,9,199,2,25,0,E,9,0,E,9,2.0,A,7,-3.0,A,7,67,A,7,977,E,9,190,A,7,4.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,13:00,628,1415,409,2,9,696,2,21,98,2,9,429,2,9,676,2,21,127,2,9,201,2,25,1,E,9,1,E,9,3.0,A,7,-2.0,A,7,68,A,7,977,E,9,180,A,7,5.7,A,7,16100,B,7,77777,A,7,1.0,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,14:00,589,1415,388,2,9,684,2,21,102,2,9,404,2,9,653,2,21,130,2,9,202,2,25,0,E,9,0,E,9,5.0,A,7,-2.0,A,7,59,A,7,977,E,9,170,A,7,5.7,A,7,16100,B,7,77777,A,7,1.0,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,15:00,485,1415,330,2,9,726,2,21,80,2,9,343,2,9,666,2,21,114,2,9,153,2,25,0,E,9,0,E,9,5.0,A,7,-2.0,A,7,59,A,7,977,E,9,190,A,7,4.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,16:00,325,1415,198,2,9,665,2,21,45,2,9,203,2,9,551,2,21,76,2,9,86,2,25,0,E,9,0,E,9,5.0,A,7,-2.0,A,7,59,A,7,977,E,9,180,A,7,5.7,A,7,16100,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,17:00,120,1415,52,2,9,333,2,21,23,2,9,53,2,9,174,2,21,38,2,9,41,2,25,0,E,9,0,E,9,2.0,A,7,-2.0,A,7,73,A,7,977,E,9,180,A,7,4.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,18:00,0,83,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,1,E,9,0,A,7,0.0,A,7,-4.0,A,7,72,A,7,977,E,9,190,A,7,2.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-1.0,A,7,-5.0,A,7,71,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-2.0,A,7,-5.0,A,7,78,A,7,977,E,9,210,A,7,1.5,A,7,16100,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,-5.0,A,7,-6.0,A,7,92,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,-5.0,A,7,-6.0,A,7,92,A,7,977,E,9,0,A,7,0.0,A,7,16100,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,8,E,9,-3.0,A,7,-5.0,A,7,84,A,7,977,E,9,190,A,7,1.5,A,7,16100,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/03/2003,24:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,E,9,-2.0,A,7,-3.0,A,7,92,A,7,977,E,9,360,A,7,0.5,A,7,16100,B,7,77777,A,7,1.1,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/04/2003,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,6,E,9,-4.0,A,7,-5.0,A,7,92,A,7,977,E,9,0,A,7,0.0,A,7,11300,B,7,77777,A,7,1.2,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/04/2003,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,-3.0,A,7,-5.0,A,7,84,A,7,977,E,9,0,A,7,0.0,A,7,11300,B,7,77777,A,7,1.2,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/04/2003,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-2.0,A,7,-2.0,A,7,100,A,7,977,E,9,0,A,7,0.0,A,7,11300,B,7,77777,A,7,1.2,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/04/2003,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1.0,A,7,-2.0,A,7,92,A,7,977,E,9,0,A,7,0.0,A,7,11300,B,7,3000,A,7,1.3,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/04/2003,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0.0,A,7,-2.0,A,7,85,A,7,977,E,9,0,A,7,0.0,A,7,11300,B,7,3000,A,7,1.4,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/04/2003,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0.0,A,7,-2.0,A,7,85,A,7,977,E,9,0,A,7,0.0,A,7,11300,B,7,2700,A,7,1.5,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/04/2003,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0.0,A,7,-1.0,A,7,92,A,7,977,E,9,0,A,7,0.0,A,7,11300,B,7,2400,A,7,1.5,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
01/04/2003,08:00,6,318,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,2.0,A,7,1.0,A,7,93,A,7,977,E,9,0,A,7,0.0,A,7,11300,B,7,1410,A,7,1.5,E,8,0.063,F,8,0.190,F,8,0,1,D,9,00,C,8
