722536,"RANDOLPH AFB",TX,-6.0,29.533,-98.283,232
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1997,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,17.0,A,7,16.0,A,7,94,A,7,991,A,7,100,A,7,2.6,A,7,11300,B,7,210,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,00,C,8
01/01/1997,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,17.0,A,7,16.0,A,7,94,A,7,991,A,7,50,A,7,1.5,A,7,11300,B,7,210,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/01/1997,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,17.0,A,7,17.0,A,7,100,A,7,991,A,7,40,A,7,2.1,A,7,6400,B,7,120,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/01/1997,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,17.0,A,7,16.0,A,7,94,A,7,990,A,7,40,B,8,1.0,A,7,4800,B,7,120,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/01/1997,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,16.0,A,7,16.0,A,7,100,A,7,990,A,7,30,A,7,2.1,A,7,8000,B,7,240,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/01/1997,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,16.0,A,7,16.0,A,7,100,A,7,990,A,7,60,A,7,2.1,A,7,11300,B,7,240,A,7,2.5,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/01/1997,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,16.0,A,7,16.0,A,7,100,A,7,991,A,7,30,A,7,2.6,A,7,1200,B,7,60,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/01/1997,08:00,33,719,3,1,11,0,1,17,3,1,11,4,1,11,0,1,17,4,1,11,12,1,23,10,A,7,10,E,9,16.0,A,7,16.0,A,7,100,A,7,991,A,7,30,A,7,2.1,A,7,600,B,7,15,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,45,C,8
01/01/1997,09:00,266,1415,28,1,11,0,1,17,28,1,11,33,1,11,0,1,17,33,1,11,114,1,23,10,A,7,10,E,9,16.0,A,7,16.0,A,7,100,A,7,992,A,7,40,A,7,2.1,A,7,800,B,7,120,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,44,C,8
01/01/1997,10:00,504,1415,61,1,11,0,1,17,61,1,11,73,1,11,0,1,17,73,1,11,268,1,23,10,A,7,10,E,9,17.0,A,7,16.0,A,7,94,A,7,992,A,7,20,A,7,2.6,A,7,1600,B,7,120,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/01/1997,11:00,690,1415,93,1,11,0,1,17,93,1,11,112,1,11,0,1,17,112,1,11,432,1,23,10,A,7,10,E,9,17.0,A,7,16.0,A,7,94,A,7,992,A,7,70,A,7,2.6,A,7,4800,B,7,120,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/01/1997,12:00,811,1415,138,1,11,0,1,17,138,1,11,165,1,11,0,1,17,165,1,11,643,1,23,10,A,7,10,E,9,19.0,A,7,17.0,A,7,88,A,7,991,A,7,60,A,7,3.1,A,7,9700,B,7,210,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/01/1997,13:00,858,1415,148,1,11,0,1,17,148,1,11,177,1,11,0,1,17,177,1,11,698,1,23,10,A,7,10,E,9,19.0,A,7,17.0,A,7,88,A,7,991,A,7,60,A,7,3.1,A,7,11300,B,7,330,A,7,2.3,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/01/1997,14:00,829,1415,142,1,11,0,1,17,142,1,11,169,1,11,0,1,17,169,1,11,665,1,23,10,A,7,10,E,9,20.0,A,7,17.0,A,7,83,A,7,990,A,7,70,A,7,2.6,A,7,11300,B,7,390,A,7,2.3,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/01/1997,15:00,724,1415,142,1,11,0,1,17,142,1,11,166,1,11,0,1,17,166,1,11,626,1,23,10,A,7,10,E,9,21.0,A,7,17.0,A,7,78,A,7,989,A,7,110,A,7,1.5,A,7,11300,B,7,540,A,7,2.3,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/01/1997,16:00,552,1415,325,1,11,459,1,17,146,1,11,338,1,11,437,1,17,167,1,11,289,1,23,5,A,7,5,E,9,22.0,A,7,17.0,A,7,73,A,7,989,A,7,90,A,7,3.1,A,7,11300,B,7,77777,A,7,2.3,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/01/1997,17:00,325,1415,134,1,11,197,1,17,89,1,11,142,1,11,159,1,17,105,1,11,174,1,23,3,A,7,3,E,9,22.0,A,7,17.0,A,7,73,A,7,989,A,7,160,A,7,2.6,A,7,11300,B,7,77777,A,7,2.3,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/01/1997,18:00,72,1049,21,1,11,68,1,17,16,1,11,23,1,11,26,1,17,21,1,11,27,1,23,2,A,7,2,E,9,19.0,A,7,16.0,A,7,83,A,7,989,A,7,180,A,7,2.1,A,7,11300,B,7,77777,A,7,2.3,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/01/1997,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,17.0,A,7,16.0,A,7,94,A,7,989,A,7,80,A,7,1.5,A,7,11300,B,7,77777,A,7,2.2,E,8,0.061,F,8,0.180,F,8,0,1,D,9,44,C,8
01/01/1997,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,16.0,A,7,15.0,A,7,94,A,7,989,A,7,40,B,8,0.5,A,7,11300,B,7,77777,A,7,2.2,E,8,0.061,F,8,0.180,F,8,0,1,D,9,44,C,8
01/01/1997,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,16.0,A,7,16.0,A,7,100,A,7,989,A,7,10,B,8,0.5,A,7,11300,B,7,77777,A,7,2.2,E,8,0.061,F,8,0.180,F,8,0,1,D,9,44,C,8
01/01/1997,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,13.0,A,7,13.0,A,7,100,A,7,989,A,7,330,A,7,2.1,A,7,11300,B,7,77777,A,7,2.2,E,8,0.061,F,8,0.180,F,8,0,1,D,9,44,C,8
01/01/1997,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,E,9,13.0,A,7,13.0,A,7,100,A,7,990,A,7,320,A,7,2.1,A,7,11300,B,7,77777,A,7,2.2,E,8,0.061,F,8,0.180,F,8,0,1,D,9,44,C,8
01/01/1997,24:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,13.0,A,7,13.0,A,7,100,A,7,990,A,7,320,A,7,2.1,A,7,11300,B,7,77777,A,7,2.2,E,8,0.061,F,8,0.180,F,8,0,1,D,9,44,C,8
01/02/1997,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,A,7,4,E,9,12.0,A,7,12.0,A,7,100,A,7,989,A,7,330,A,7,1.5,A,7,300,B,7,77777,A,7,2.1,E,8,0.061,F,8,0.180,F,8,0,1,D,9,44,C,8
01/02/1997,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,A,7,4,E,9,13.0,A,7,13.0,A,7,100,A,7,989,A,7,330,A,7,1.5,A,7,100,B,7,77777,A,7,2.1,E,8,0.061,F,8,0.180,F,8,0,1,D,9,44,C,8
01/02/1997,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,E,9,13.0,A,7,13.0,A,7,100,A,7,989,A,7,310,A,7,1.0,A,7,200,B,7,77777,A,7,2.1,E,8,0.061,F,8,0.180,F,8,0,1,D,9,44,C,8
01/02/1997,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,14.0,A,7,14.0,A,7,100,A,7,988,A,7,270,B,8,0.5,A,7,100,B,7,15,A,7,2.1,E,8,0.061,F,8,0.180,F,8,0,1,D,9,45,C,8
01/02/1997,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,15.0,A,7,15.0,A,7,100,A,7,988,A,7,220,B,8,1.0,A,7,100,B,7,15,A,7,2.1,E,8,0.061,F,8,0.180,F,8,0,1,D,9,45,C,8
01/02/1997,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,14.0,A,7,14.0,A,7,100,A,7,989,A,7,180,B,8,1.0,A,7,100,B,7,15,A,7,2.1,E,8,0.061,F,8,0.180,F,8,0,1,D,9,45,C,8
01/02/1997,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,7,E,9,14.0,A,7,14.0,A,7,100,A,7,989,A,7,130,A,7,2.1,A,7,300,B,7,120,A,7,2.1,E,8,0.061,F,8,0.180,F,8,0,1,D,9,44,C,8
01/02/1997,08:00,33,719,3,1,11,0,1,17,3,1,11,4,1,11,0,1,17,4,1,11,12,1,23,10,A,7,10,E,9,14.0,A,7,14.0,A,7,100,A,7,989,A,7,200,A,7,2.6,A,7,800,B,7,120,A,7,2.1,E,8,0.061,F,8,0.180,F,8,0,1,D,9,44,C,8
01/02/1997,09:00,265,1415,150,1,11,198,1,17,112,1,11,158,1,11,148,1,17,130,1,11,240,1,23,9,A,7,7,E,9,15.0,A,7,15.0,A,7,100,A,7,990,A,7,190,A,7,2.1,A,7,1600,B,7,90,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/02/1997,10:00,504,1415,78,1,11,0,1,17,78,1,11,92,1,11,0,1,17,92,1,11,331,1,23,10,A,7,10,E,9,16.0,A,7,16.0,A,7,100,A,7,990,A,7,200,A,7,3.1,A,7,2400,B,7,90,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/02/1997,11:00,691,1415,109,1,11,0,1,17,109,1,11,130,1,11,0,1,17,130,1,11,494,1,23,10,A,7,10,E,9,16.0,A,7,16.0,A,7,100,A,7,990,A,7,200,A,7,3.1,A,7,400,B,7,90,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,44,C,8
01/02/1997,12:00,812,1415,130,1,11,0,1,17,130,1,11,156,1,11,0,1,17,156,1,11,612,1,23,10,A,7,10,E,9,18.0,A,7,18.0,A,7,100,A,7,989,A,7,230,A,7,3.6,A,7,2400,B,7,90,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/02/1997,13:00,860,1415,492,1,11,355,1,17,276,1,11,527,1,11,377,1,17,297,1,11,706,1,23,9,A,7,7,E,9,21.0,A,7,18.0,A,7,83,A,7,988,A,7,200,A,7,3.6,A,7,4800,B,7,360,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/02/1997,14:00,831,1415,190,1,11,0,1,17,190,1,11,222,1,11,0,1,17,222,1,11,838,1,23,10,A,7,10,E,9,22.0,A,7,18.0,A,7,78,A,7,987,A,7,190,A,7,4.6,A,7,11300,B,7,450,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/02/1997,15:00,727,1415,418,1,11,308,1,17,259,1,11,440,1,11,320,1,17,275,1,11,620,1,23,9,A,7,7,E,9,21.0,A,7,18.0,A,7,83,A,7,987,A,7,170,A,7,4.6,A,7,11300,B,7,450,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/02/1997,16:00,555,1415,103,1,11,0,1,17,103,1,11,120,1,11,0,1,17,120,1,11,431,1,23,10,A,7,10,E,9,20.0,A,7,18.0,A,7,88,A,7,987,A,7,170,A,7,5.1,A,7,11300,B,7,360,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/02/1997,17:00,328,1415,107,1,11,101,1,17,83,1,11,116,1,11,84,1,17,97,1,11,181,1,23,9,A,7,7,E,9,21.0,A,7,18.0,A,7,83,A,7,987,A,7,150,A,7,3.6,A,7,11300,B,7,600,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/02/1997,18:00,74,1073,12,1,11,0,1,17,12,1,11,14,1,11,0,1,17,14,1,11,45,1,23,10,A,7,10,E,9,19.0,A,7,18.0,A,7,94,A,7,987,A,7,130,A,7,2.1,A,7,11300,B,7,450,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/02/1997,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,19.0,A,7,18.0,A,7,94,A,7,987,A,7,120,B,8,0.5,A,7,11300,B,7,510,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/02/1997,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,8,E,9,18.0,A,7,17.0,A,7,94,A,7,987,A,7,100,A,7,2.1,A,7,11300,B,7,750,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/02/1997,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,7,E,9,17.0,A,7,17.0,A,7,100,A,7,987,A,7,130,A,7,1.5,A,7,9700,B,7,600,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/02/1997,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,8,E,9,18.0,A,7,17.0,A,7,94,A,7,987,A,7,160,A,7,3.6,A,7,9700,B,7,600,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/02/1997,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,17.0,A,7,17.0,A,7,100,A,7,987,A,7,180,A,7,3.6,A,7,9700,B,7,240,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/02/1997,24:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,18.0,A,7,18.0,A,7,100,A,7,987,A,7,180,A,7,4.6,A,7,6400,B,7,90,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,19.0,A,7,18.0,A,7,94,A,7,986,A,7,180,A,7,5.7,A,7,9700,B,7,210,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,19.0,A,7,18.0,A,7,94,A,7,986,A,7,180,A,7,5.1,A,7,9700,B,7,210,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,20.0,A,7,19.0,A,7,94,A,7,986,A,7,200,A,7,4.1,A,7,11300,B,7,210,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,51,C,8
01/03/1997,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,20.0,A,7,19.0,A,7,94,A,7,985,A,7,190,A,7,3.6,A,7,11300,B,7,300,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,51,C,8
01/03/1997,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,20.0,A,7,18.0,A,7,88,A,7,984,A,7,190,A,7,5.1,A,7,11300,B,7,300,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,51,C,8
01/03/1997,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,19.0,A,7,18.0,A,7,94,A,7,984,A,7,190,A,7,5.1,A,7,11300,B,7,210,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,51,C,8
01/03/1997,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,19.0,A,7,18.0,A,7,94,A,7,984,A,7,190,A,7,4.6,A,7,11300,B,7,210,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,08:00,33,719,3,1,11,0,1,17,3,1,11,4,1,11,0,1,17,4,1,11,12,1,23,10,A,7,10,E,9,20.0,A,7,18.0,A,7,88,A,7,985,A,7,190,A,7,5.7,A,7,9700,B,7,270,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,09:00,265,1415,43,1,11,0,1,17,43,1,11,50,1,11,0,1,17,50,1,11,163,1,23,10,A,7,10,E,9,20.0,A,7,18.0,A,7,88,A,7,985,A,7,190,A,7,5.1,A,7,11300,B,7,300,A,7,2.0,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,10:00,504,1415,91,1,11,0,1,17,91,1,11,106,1,11,0,1,17,106,1,11,375,1,23,10,A,7,10,E,9,20.0,A,7,18.0,A,7,88,A,7,985,A,7,200,A,7,6.7,A,7,11300,B,7,300,A,7,2.1,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,11:00,691,1415,129,1,11,0,1,17,129,1,11,151,1,11,0,1,17,151,1,11,567,1,23,10,A,7,10,E,9,21.0,A,7,18.0,A,7,83,A,7,985,A,7,200,A,7,5.7,A,7,11300,B,7,330,A,7,2.1,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,12:00,813,1415,184,1,11,0,1,17,184,1,11,215,1,11,0,1,17,215,1,11,809,1,23,10,A,7,10,E,9,21.0,A,7,18.0,A,7,83,A,7,984,A,7,190,A,7,6.2,A,7,11300,B,7,420,A,7,2.1,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,13:00,862,1415,196,1,11,0,1,17,196,1,11,229,1,11,0,1,17,229,1,11,875,1,23,10,A,7,10,E,9,22.0,A,7,18.0,A,7,78,A,7,982,A,7,200,A,7,5.1,A,7,11300,B,7,540,A,7,2.1,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,14:00,833,1415,452,1,11,202,1,17,333,1,11,486,1,11,210,1,17,363,1,11,892,1,23,9,A,7,9,E,9,24.0,A,7,18.0,A,7,69,A,7,981,A,7,200,A,7,6.2,A,7,11300,B,7,840,A,7,2.1,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,15:00,730,1415,388,1,11,278,1,17,244,1,11,411,1,11,289,1,17,261,1,11,577,1,23,5,A,7,5,E,9,26.0,A,7,18.0,A,7,61,A,7,980,A,7,190,A,7,5.1,A,7,11300,B,7,77777,A,7,2.1,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,16:00,559,1415,342,1,11,691,1,17,68,1,11,357,1,11,655,1,17,97,1,11,140,1,23,2,A,7,2,E,9,27.0,A,7,18.0,A,7,58,A,7,980,A,7,200,A,7,5.7,A,7,11300,B,7,77777,A,7,2.1,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,17:00,332,1415,197,1,11,704,1,17,32,1,11,209,1,11,599,1,17,68,1,11,79,1,23,0,A,7,0,E,9,26.0,A,7,18.0,A,7,61,A,7,979,A,7,170,A,7,6.2,A,7,11300,B,7,77777,A,7,2.2,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,18:00,77,1073,32,1,11,290,1,17,11,1,11,35,1,11,179,1,17,22,1,11,30,1,23,0,A,7,0,E,9,23.0,A,7,18.0,A,7,73,A,7,979,A,7,170,A,7,4.1,A,7,11300,B,7,77777,A,7,2.2,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,22.0,A,7,17.0,A,7,73,A,7,979,A,7,170,A,7,3.1,A,7,11300,B,7,77777,A,7,2.2,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,21.0,A,7,17.0,A,7,78,A,7,980,A,7,200,A,7,2.1,A,7,11300,B,7,77777,A,7,2.2,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,20.0,A,7,18.0,A,7,88,A,7,980,A,7,160,A,7,3.6,A,7,11300,B,7,77777,A,7,2.2,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,19.0,A,7,18.0,A,7,94,A,7,981,A,7,150,A,7,4.1,A,7,11300,B,7,77777,A,7,2.2,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,E,9,18.0,A,7,18.0,A,7,100,A,7,981,A,7,170,A,7,4.1,A,7,8000,B,7,77777,A,7,2.3,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/03/1997,24:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,5,A,7,5,E,9,17.0,A,7,17.0,A,7,100,A,7,980,A,7,170,A,7,3.6,A,7,4800,B,7,77777,A,7,2.3,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/04/1997,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,9,A,7,9,E,9,16.0,A,7,16.0,A,7,100,A,7,980,A,7,150,A,7,3.1,A,7,500,B,7,60,A,7,2.3,E,8,0.061,F,8,0.180,F,8,0,1,D,9,44,C,8
01/04/1997,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,18.0,A,7,18.0,A,7,100,A,7,980,A,7,150,A,7,2.6,A,7,800,B,7,15,A,7,2.3,E,8,0.061,F,8,0.180,F,8,0,1,D,9,45,C,8
01/04/1997,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,18.0,A,7,18.0,A,7,100,A,7,980,A,7,180,A,7,2.6,A,7,1200,B,7,15,A,7,2.3,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/04/1997,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,19.0,A,7,18.0,A,7,94,A,7,980,A,7,180,A,7,4.1,A,7,1200,B,7,15,A,7,2.3,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/04/1997,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,18.0,A,7,18.0,A,7,100,A,7,980,A,7,200,A,7,4.6,A,7,100,B,7,15,A,7,2.3,E,8,0.061,F,8,0.180,F,8,0,1,D,9,45,C,8
01/04/1997,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,18.0,A,7,18.0,A,7,100,A,7,980,A,7,190,A,7,4.1,A,7,100,B,7,15,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,45,C,8
01/04/1997,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,E,9,18.0,A,7,18.0,A,7,100,A,7,980,A,7,200,A,7,5.7,A,7,500,B,7,15,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,45,C,8
01/04/1997,08:00,32,696,3,1,11,0,1,17,3,1,11,4,1,11,0,1,17,4,1,11,12,1,23,10,A,7,10,E,9,18.0,A,7,18.0,A,7,100,A,7,981,A,7,200,A,7,4.1,A,7,1200,B,7,90,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/04/1997,09:00,264,1415,38,1,11,0,1,17,38,1,11,44,1,11,0,1,17,44,1,11,148,1,23,10,A,7,10,E,9,18.0,A,7,18.0,A,7,100,A,7,982,A,7,210,A,7,3.6,A,7,3200,B,7,150,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
01/04/1997,10:00,504,1415,77,1,11,0,1,17,77,1,11,91,1,11,0,1,17,91,1,11,327,1,23,10,A,7,10,E,9,19.0,A,7,18.0,A,7,94,A,7,983,A,7,310,A,7,2.6,A,7,4800,B,7,180,A,7,2.4,E,8,0.061,F,8,0.180,F,8,0,1,D,9,10,C,8
