723320,"TUPELO C D LEMONS ARPT",MS,-6.0,34.267,-88.767,110
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1996,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,13.3,A,7,12.8,A,7,97,A,7,988,A,7,10,A,7,3.6,A,7,6400,B,7,183,A,7,2.3,E,8,0.066,F,8,0.160,F,8,0,1,D,9,45,C,8
01/01/1996,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,13.3,A,7,12.8,A,7,97,A,7,988,A,7,10,A,7,5.7,A,7,4000,B,7,61,A,7,2.3,E,8,0.066,F,8,0.160,F,8,0,1,D,9,45,C,8
01/01/1996,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,12.8,A,7,12.2,A,7,96,A,7,988,A,7,20,A,7,4.6,A,7,3200,B,7,366,A,7,2.3,E,8,0.066,F,8,0.160,F,8,0,1,D,9,45,C,8
01/01/1996,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,12.2,A,7,11.7,A,7,97,A,7,988,A,7,30,A,7,4.6,A,7,5600,B,7,122,A,7,2.3,E,8,0.066,F,8,0.160,F,8,0,1,D,9,45,C,8
01/01/1996,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,12.2,A,7,12.2,A,7,100,A,7,987,A,7,10,A,7,4.6,A,7,16000,B,7,122,A,7,2.3,E,8,0.066,F,8,0.160,F,8,0,1,D,9,45,C,8
01/01/1996,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,12.8,A,7,12.2,A,7,96,A,7,986,A,7,60,A,7,3.1,A,7,11200,B,7,122,A,7,2.3,E,8,0.066,F,8,0.160,F,8,0,1,D,9,61,C,8
01/01/1996,24:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,12.8,A,7,12.2,A,7,96,A,7,985,A,7,50,A,7,4.6,A,7,6400,B,7,122,A,7,2.3,E,8,0.066,F,8,0.160,F,8,0,1,D,9,63,C,8
01/02/1996,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,12.2,A,7,11.7,A,7,97,A,7,986,A,7,360,A,7,2.1,A,7,4800,B,7,183,A,7,2.3,E,8,0.066,F,8,0.160,F,8,0,1,D,9,45,C,8
01/02/1996,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,11.7,A,7,11.7,A,7,100,A,7,985,A,7,10,A,7,3.6,A,7,8000,B,7,61,A,7,2.3,E,8,0.066,F,8,0.160,F,8,0,1,D,9,45,C,8
01/02/1996,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,11.7,A,7,11.1,A,7,96,A,7,984,A,7,360,A,7,3.1,A,7,4800,B,7,61,A,7,2.3,E,8,0.066,F,8,0.160,F,8,0,1,D,9,45,C,8
01/02/1996,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,11.7,A,7,11.1,A,7,96,A,7,984,A,7,360,A,7,1.5,A,7,2800,B,7,61,A,7,2.3,E,8,0.066,F,8,0.160,F,8,0,1,D,9,45,C,8
01/02/1996,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,11.7,A,7,11.1,A,7,96,A,7,984,A,7,0,A,7,0.0,A,7,3200,B,7,61,A,7,2.3,E,8,0.066,F,8,0.160,F,8,0,1,D,9,45,C,8
01/02/1996,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,11.7,A,7,11.1,A,7,96,A,7,985,A,7,0,A,7,0.0,A,7,3200,B,7,61,A,7,2.3,E,8,0.066,F,8,0.160,F,8,0,1,D,9,45,C,8
01/02/1996,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,11.1,A,7,11.1,A,7,100,A,7,985,A,7,0,A,7,0.0,A,7,2800,B,7,61,A,7,2.2,E,8,0.066,F,8,0.160,F,8,0,1,D,9,45,C,8
01/02/1996,08:00,111,1356,11,1,10,0,1,16,11,1,10,13,1,10,0,1,16,13,1,10,43,1,21,10,E,9,10,E,9,11.7,A,7,11.1,A,7,96,A,7,985,A,7,170,A,7,2.1,A,7,400,B,7,61,A,7,2.2,E,8,0.066,F,8,0.160,F,8,0,1,D,9,45,C,8
01/02/1996,09:00,349,1415,43,1,10,0,1,16,43,1,10,51,1,10,0,1,16,51,1,10,177,1,21,10,E,9,10,E,9,11.1,A,7,11.1,A,7,100,A,7,986,A,7,250,A,7,4.1,A,7,8000,B,7,61,A,7,2.1,E,8,0.066,F,8,0.160,F,8,0,1,D,9,45,C,8
01/02/1996,10:00,545,1415,75,1,10,0,1,16,75,1,10,89,1,10,0,1,16,89,1,10,329,1,21,10,E,9,10,E,9,10.0,A,7,10.0,A,7,100,A,7,987,A,7,240,A,7,6.7,A,7,16000,B,7,122,A,7,2.0,E,8,0.066,F,8,0.160,F,8,0,1,D,9,61,C,8
01/02/1996,11:00,684,1415,99,1,11,0,1,16,99,1,11,118,1,11,0,1,16,118,1,11,454,1,22,10,B,8,10,B,8,7.8,A,7,7.2,A,7,96,A,7,988,A,7,240,A,7,7.2,A,7,16000,B,7,122,A,7,2.0,E,8,0.066,F,8,0.160,F,8,0,1,D,9,61,C,8
01/02/1996,12:00,755,1415,112,1,10,0,1,16,112,1,10,134,1,10,0,1,16,134,1,10,524,1,21,10,E,9,10,E,9,7.2,A,7,6.1,A,7,93,A,7,987,A,7,250,A,7,5.2,A,7,16000,B,7,122,A,7,1.9,E,8,0.066,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1996,13:00,754,1415,133,1,10,0,1,16,133,1,10,157,1,10,0,1,16,157,1,10,605,1,21,10,E,9,10,E,9,6.7,A,7,5.6,A,7,93,A,7,987,A,7,240,A,7,7.2,A,7,16000,B,7,244,A,7,1.9,E,8,0.066,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1996,14:00,681,1415,118,1,10,0,1,16,118,1,10,139,1,10,0,1,16,139,1,10,524,1,21,10,E,9,10,E,9,6.7,A,7,5.0,A,7,89,A,7,987,A,7,230,A,7,6.2,A,7,16000,B,7,244,A,7,1.8,E,8,0.066,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1996,15:00,540,1415,89,1,10,0,1,16,89,1,10,104,1,10,0,1,16,104,1,10,379,1,21,10,E,9,10,E,9,6.1,A,7,4.4,A,7,89,A,7,989,A,7,240,A,7,7.2,A,7,16000,B,7,305,A,7,1.7,E,8,0.066,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1996,16:00,341,1415,50,1,10,0,1,16,50,1,10,58,1,10,0,1,16,58,1,10,200,1,21,10,E,9,10,E,9,5.6,A,7,3.9,A,7,89,A,7,990,A,7,250,A,7,5.2,A,7,11200,B,7,244,A,7,1.7,E,8,0.066,F,8,0.160,F,8,0,1,D,9,61,C,8
01/02/1996,17:00,104,1309,12,1,10,0,1,16,12,1,10,14,1,10,0,1,16,14,1,10,46,1,21,10,E,9,10,E,9,5.0,A,7,2.8,A,7,86,A,7,991,A,7,250,A,7,6.2,A,7,16000,B,7,366,A,7,1.6,E,8,0.066,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1996,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,4.4,A,7,2.2,A,7,86,A,7,991,A,7,250,A,7,6.7,A,7,16000,B,7,427,A,7,1.5,E,8,0.066,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1996,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,3.9,A,7,2.2,A,7,89,A,7,992,A,7,260,A,7,5.2,A,7,16000,B,7,366,A,7,1.5,E,8,0.066,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1996,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3.9,A,7,1.7,A,7,86,A,7,992,A,7,270,A,7,5.7,A,7,16000,B,7,366,A,7,1.4,E,8,0.066,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1996,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,3.9,A,7,1.7,A,7,86,A,7,994,A,7,270,A,7,4.6,A,7,16000,B,7,427,A,7,1.4,E,8,0.066,F,8,0.160,F,8,0,1,D,9,61,C,8
01/02/1996,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,2.8,A,7,1.1,A,7,89,A,7,995,A,7,270,A,7,6.2,A,7,11200,B,7,427,A,7,1.3,E,8,0.066,F,8,0.160,F,8,0,1,D,9,61,C,8
01/02/1996,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,2.8,A,7,1.1,A,7,89,A,7,996,A,7,290,A,7,3.6,A,7,16000,B,7,457,A,7,1.2,E,8,0.066,F,8,0.160,F,8,0,1,D,9,00,C,8
01/02/1996,24:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,2.2,A,7,0.0,A,7,85,A,7,997,A,7,300,A,7,5.2,A,7,16000,B,7,549,A,7,1.2,E,8,0.066,F,8,0.160,F,8,0,1,D,9,61,C,8
01/03/1996,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,1.7,A,7,-0.6,A,7,84,A,7,996,A,7,320,A,7,3.6,A,7,16000,B,7,1006,A,7,1.1,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,1.1,A,7,-1.7,A,7,80,A,7,997,A,7,300,A,7,4.6,A,7,16000,B,7,1067,A,7,1.0,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,1.1,A,7,-2.8,A,7,73,A,7,997,A,7,300,A,7,5.2,A,7,16000,B,7,732,A,7,1.0,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,0.6,A,7,-4.4,A,7,66,A,7,997,A,7,310,A,7,5.7,A,7,16000,B,7,792,A,7,0.9,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,0.0,A,7,-3.9,A,7,72,A,7,998,A,7,320,A,7,6.2,A,7,16000,B,7,671,A,7,0.9,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-0.6,A,7,-3.9,A,7,76,A,7,999,A,7,330,A,7,6.2,A,7,16000,B,7,549,A,7,0.8,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-0.6,A,7,-4.4,A,7,73,A,7,1000,A,7,350,A,7,4.6,A,7,16000,B,7,549,A,7,0.8,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,08:00,111,1332,18,1,10,0,1,16,18,1,10,21,1,10,0,1,16,21,1,10,66,1,21,10,E,9,10,E,9,-1.1,A,7,-5.6,A,7,68,A,7,1001,A,7,320,A,7,4.1,A,7,16000,B,7,549,A,7,0.8,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,09:00,349,1415,72,1,10,0,1,16,72,1,10,82,1,10,0,1,16,82,1,10,269,1,21,10,E,9,10,E,9,-1.1,A,7,-4.4,A,7,76,A,7,1002,A,7,330,A,7,3.1,A,7,16000,B,7,732,A,7,0.8,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,10:00,546,1415,119,1,10,0,1,16,119,1,10,137,1,10,0,1,16,137,1,10,478,1,21,10,E,9,10,E,9,-1.1,A,7,-3.9,A,7,79,A,7,1002,A,7,330,A,7,3.1,A,7,4800,B,7,914,A,7,0.8,E,8,0.065,F,8,0.160,F,8,0,1,D,9,45,C,8
01/03/1996,11:00,685,1415,128,1,24,0,1,27,128,1,24,150,1,24,0,1,27,150,1,24,562,1,43,10,E,9,10,A,7,-0.6,A,7,-3.9,A,7,76,A,7,1002,A,7,300,A,7,3.1,A,7,16000,B,7,396,A,7,0.8,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,12:00,757,1415,170,1,25,0,1,28,170,1,25,198,1,25,0,1,28,198,1,25,735,1,45,10,B,8,10,B,8,0.0,A,7,-3.9,A,7,72,A,7,1001,A,7,290,A,7,5.2,A,7,16000,B,7,579,A,7,0.8,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,13:00,756,1415,170,1,10,0,1,16,170,1,10,198,1,10,0,1,16,198,1,10,735,1,21,10,E,9,10,E,9,0.6,A,7,-3.3,A,7,73,A,7,1000,A,7,290,A,7,3.6,A,7,16000,B,7,579,A,7,0.9,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,14:00,683,1415,152,1,24,0,1,27,152,1,24,176,1,24,0,1,27,176,1,24,641,1,43,10,E,9,10,A,7,0.6,A,7,-3.3,A,7,73,A,7,1001,A,7,310,A,7,4.1,A,7,16000,B,7,640,A,7,0.9,E,8,0.065,F,8,0.160,F,8,0,1,D,9,71,C,8
01/03/1996,15:00,543,1415,118,1,10,0,1,16,118,1,10,135,1,10,0,1,16,135,1,10,474,1,21,10,E,9,10,E,9,0.6,A,7,-3.3,A,7,73,A,7,1001,A,7,290,A,7,5.2,A,7,8000,B,7,701,A,7,0.9,E,8,0.065,F,8,0.160,F,8,0,1,D,9,71,C,8
01/03/1996,16:00,345,1415,71,1,10,0,1,16,71,1,10,81,1,10,0,1,16,81,1,10,265,1,21,10,E,9,10,E,9,0.0,A,7,-3.3,A,7,76,A,7,1002,A,7,300,A,7,4.1,A,7,16000,B,7,579,A,7,0.9,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,17:00,107,1309,18,1,10,0,1,16,18,1,10,21,1,10,0,1,16,21,1,10,66,1,21,10,E,9,10,E,9,0.0,A,7,-4.4,A,7,69,A,7,1002,A,7,270,A,7,4.1,A,7,16000,B,7,579,A,7,0.9,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,18:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-0.6,A,7,-4.4,A,7,73,A,7,1003,A,7,260,A,7,4.1,A,7,16000,B,7,640,A,7,0.9,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,19:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,A,7,-0.6,A,7,-4.4,A,7,73,A,7,1004,A,7,290,A,7,3.6,A,7,16000,B,7,579,A,7,0.9,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,20:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-0.6,A,7,-4.4,A,7,73,A,7,1004,A,7,310,A,7,1.5,A,7,16000,B,7,945,A,7,0.9,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,21:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-0.6,A,7,-4.4,A,7,73,A,7,1004,A,7,260,A,7,2.1,A,7,16000,B,7,884,A,7,0.9,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,22:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-0.6,A,7,-4.4,A,7,73,A,7,1004,A,7,0,A,7,0.0,A,7,16000,B,7,823,A,7,0.9,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,23:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-0.6,A,7,-4.4,A,7,73,A,7,1004,A,7,0,A,7,0.0,A,7,16000,B,7,823,A,7,0.9,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/03/1996,24:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-0.6,A,7,-4.4,A,7,73,A,7,1004,A,7,180,A,7,2.1,A,7,16000,B,7,823,A,7,0.9,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/04/1996,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-0.6,A,7,-3.9,A,7,76,A,7,1003,A,7,160,A,7,1.5,A,7,16000,B,7,823,A,7,1.0,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/04/1996,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,-0.6,A,7,-3.3,A,7,80,A,7,1004,A,7,140,A,7,2.1,A,7,16000,B,7,823,A,7,1.0,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/04/1996,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,0.0,A,7,-2.8,A,7,79,A,7,1004,A,7,180,A,7,3.1,A,7,16000,B,7,762,A,7,1.0,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/04/1996,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,0.0,A,7,-2.2,A,7,83,A,7,1005,A,7,170,A,7,2.1,A,7,16000,B,7,701,A,7,1.0,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
01/04/1996,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,E,9,10,E,9,0.0,A,7,-2.8,A,7,79,A,7,1005,A,7,170,A,7,3.1,A,7,16000,B,7,823,A,7,1.0,E,8,0.065,F,8,0.160,F,8,0,1,D,9,00,C,8
