726886,"BAKER MUNICIPAL AP",OR,-8.0,44.833,-117.817,1027
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code)
01/01/1999,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,B,8,3,B,8,-1.4,B,8,-4.0,B,8,80,A,7,902,B,8,310,B,8,4.3,B,8,16100,C,8,4500,B,8,1.0,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,B,8,4,B,8,-1.7,B,8,-4.1,B,8,82,A,7,903,B,8,250,B,8,3.4,B,8,16100,C,8,4500,B,8,1.0,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,5,E,9,-2.0,A,7,-4.0,A,7,85,A,7,904,A,7,200,A,7,2.6,A,7,16100,B,7,4500,A,7,1.0,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,6,E,9,-2.0,A,7,-5.0,A,7,78,A,7,905,A,7,170,A,7,3.1,A,7,16100,B,7,4500,A,7,1.0,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,7,E,9,-2.0,A,7,-5.0,A,7,78,A,7,905,A,7,230,A,7,2.1,A,7,16100,B,7,4500,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,6,E,9,-2.0,A,7,-5.0,A,7,78,A,7,905,A,7,210,B,8,1.5,A,7,16100,B,7,4500,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,7,E,9,-2.0,A,7,-5.0,A,7,78,A,7,906,A,7,200,B,8,2.1,A,7,16100,B,7,4500,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,08:00,23,696,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,9,E,9,7,E,9,-3.0,A,7,-5.0,A,7,84,A,7,906,A,7,180,A,7,2.1,A,7,24100,B,7,5400,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,09:00,190,1415,86,2,9,501,2,21,18,2,9,92,2,9,366,2,21,42,2,9,48,2,25,7,E,9,6,E,9,-1.0,A,7,-4.0,A,7,78,A,7,908,A,7,220,A,7,2.6,A,7,24100,B,7,5400,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,10:00,355,1415,217,2,9,740,2,21,30,2,9,230,2,9,641,2,21,69,2,9,79,2,25,7,E,9,6,E,9,1.0,A,7,-4.0,A,7,67,A,7,909,A,7,190,A,7,1.5,A,7,24100,B,7,5400,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,11:00,470,1415,314,2,9,834,2,21,36,2,9,334,2,9,768,2,21,78,2,9,97,2,25,6,E,9,5,E,9,2.0,A,7,-4.0,A,7,62,A,7,910,A,7,310,A,7,1.5,A,7,24100,B,7,77777,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,12:00,527,1415,367,2,9,873,2,21,40,2,9,389,2,9,820,2,21,82,2,9,106,2,25,8,E,9,7,E,9,3.0,A,7,-4.0,A,7,58,A,7,910,A,7,330,A,7,4.6,A,7,24100,B,7,5400,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,13:00,522,1415,367,2,9,734,2,21,95,2,9,379,2,9,682,2,21,127,2,9,181,2,25,6,E,9,6,E,9,3.0,A,7,-5.0,A,7,53,A,7,909,A,7,250,A,7,2.6,A,7,24100,B,7,5400,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,14:00,455,1415,231,2,9,298,2,21,135,2,9,244,2,9,276,2,21,155,2,9,277,2,25,7,E,9,6,E,9,4.0,A,7,-5.0,A,7,49,A,7,909,A,7,0,A,7,0.0,A,7,24100,B,7,5400,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,15:00,330,1415,221,2,9,445,2,21,116,2,9,220,2,9,355,2,21,137,2,9,226,2,25,8,E,9,7,E,9,3.0,A,7,-3.0,A,7,63,A,7,909,A,7,320,A,7,3.1,A,7,24100,B,7,4500,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,16:00,159,1415,30,2,9,0,2,21,30,2,9,34,2,9,0,2,21,34,2,9,106,2,25,6,E,9,6,E,9,2.0,A,7,-3.0,A,7,67,A,7,909,A,7,250,A,7,2.1,A,7,24100,B,7,5400,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,17:00,10,460,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,5,E,9,5,E,9,-1.0,A,7,-3.0,A,7,85,A,7,909,A,7,220,A,7,2.1,A,7,24100,B,7,5400,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-1.0,A,7,-4.0,A,7,78,A,7,909,A,7,200,A,7,1.5,A,7,16100,B,7,5400,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,-4.0,A,7,-5.0,A,7,92,A,7,908,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-4.0,A,7,-5.0,A,7,92,A,7,908,A,7,350,A,7,2.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-5.0,A,7,-6.0,A,7,92,A,7,908,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-5.0,A,7,-6.0,A,7,92,A,7,907,A,7,250,A,7,1.5,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-5.0,A,7,-7.0,A,7,84,A,7,908,A,7,200,A,7,3.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/01/1999,24:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-6.0,A,7,-8.0,A,7,84,A,7,907,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-6.0,A,7,-8.0,A,7,84,A,7,907,A,7,60,A,7,2.1,A,7,16100,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-6.0,A,7,-7.0,A,7,92,A,7,907,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-6.0,A,7,-7.0,A,7,92,A,7,907,A,7,190,A,7,2.1,A,7,16100,B,7,3000,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,A,7,5,E,9,-7.0,A,7,-8.0,A,7,92,A,7,906,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-7.0,A,7,-8.0,A,7,92,A,7,906,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-7.0,A,7,-8.0,A,7,92,A,7,907,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-8.0,A,7,-9.0,A,7,92,A,7,907,A,7,330,A,7,2.6,A,7,16100,B,7,3000,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,08:00,23,696,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,8,E,9,8,E,9,-6.0,A,7,-7.0,A,7,92,A,7,908,A,7,160,A,7,1.5,A,7,32200,B,7,3000,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,09:00,191,1415,92,2,9,573,2,21,15,2,9,99,2,9,419,2,21,42,2,9,44,2,25,5,E,9,5,E,9,-5.0,A,7,-6.0,A,7,92,A,7,909,A,7,220,A,7,2.6,A,7,48300,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,10:00,356,1415,217,2,9,751,2,21,27,2,9,231,2,9,651,2,21,67,2,9,75,2,25,3,E,9,3,E,9,-1.0,A,7,-3.0,A,7,85,A,7,911,A,7,0,A,7,0.0,A,7,56300,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,11:00,471,1415,314,2,9,839,2,21,33,2,9,334,2,9,773,2,21,75,2,9,92,2,25,0,E,9,0,E,9,2.0,A,7,-3.0,A,7,67,A,7,911,A,7,260,A,7,2.6,A,7,64400,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,12:00,529,1415,367,2,9,873,2,21,39,2,9,389,2,9,820,2,21,81,2,9,105,2,25,0,E,9,0,E,9,3.0,A,7,-3.0,A,7,63,A,7,911,A,7,360,A,7,2.1,A,7,64400,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,13:00,524,1415,354,2,9,838,2,21,42,2,9,375,2,9,786,2,21,82,2,9,109,2,25,0,E,9,0,E,9,4.0,A,7,-5.0,A,7,49,A,7,911,A,7,350,A,7,5.7,A,7,64400,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,14:00,457,1415,288,2,9,577,2,21,101,2,9,293,2,9,512,2,21,127,2,9,181,2,25,3,E,9,3,E,9,5.0,A,7,-5.0,A,7,46,A,7,912,A,7,360,B,8,1.5,A,7,64400,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,15:00,333,1415,238,2,9,632,2,21,88,2,9,237,2,9,500,2,21,119,2,9,146,2,25,0,E,9,0,E,9,5.0,A,7,-6.0,A,7,42,A,7,912,A,7,360,A,7,4.1,A,7,64400,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,16:00,162,1415,28,2,9,0,2,21,28,2,9,32,2,9,0,2,21,32,2,9,101,2,25,0,E,9,0,E,9,3.0,A,7,-6.0,A,7,49,A,7,911,A,7,360,A,7,4.1,A,7,56300,B,7,77777,A,7,0.6,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,17:00,11,460,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,1.0,A,7,-7.0,A,7,51,A,7,911,A,7,350,B,8,1.5,A,7,32200,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,0.0,A,7,-6.0,A,7,60,A,7,911,A,7,330,B,8,1.5,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-4.0,A,7,-7.0,A,7,77,A,7,910,A,7,320,A,7,3.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-1.0,A,7,-6.0,A,7,66,A,7,911,A,7,330,A,7,2.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-3.0,A,7,-6.0,A,7,77,A,7,910,A,7,190,A,7,2.6,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-5.0,A,7,-6.0,A,7,92,A,7,909,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-5.0,A,7,-7.0,A,7,84,A,7,909,A,7,230,A,7,3.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/02/1999,24:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-5.0,A,7,-7.0,A,7,84,A,7,909,A,7,230,A,7,2.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,B,8,1,B,8,-6.5,B,8,-8.0,B,8,88,A,7,909,B,8,210,B,8,2.1,B,8,16100,C,8,77777,B,8,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-8.0,A,7,-9.0,A,7,92,A,7,908,A,7,190,A,7,2.1,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-7.0,A,7,-9.0,A,7,84,A,7,908,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-7.0,A,7,-8.0,A,7,92,A,7,909,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-9.0,A,7,-10.0,A,7,92,A,7,908,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-8.0,A,7,-9.0,A,7,92,A,7,909,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-8.0,A,7,-9.0,A,7,92,A,7,909,A,7,100,A,7,1.5,A,7,16100,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,08:00,23,696,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,-7.1,B,8,-8.5,B,8,88,A,7,910,B,8,20,B,8,1.5,A,7,40200,B,7,77777,A,7,0.7,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,09:00,191,1415,96,2,9,583,2,21,16,2,9,102,2,9,426,2,21,44,2,9,46,2,25,0,E,9,0,E,9,-5.0,A,7,-7.0,A,7,84,A,7,910,A,7,290,A,7,1.5,A,7,48300,B,7,77777,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,10:00,357,1415,217,2,9,746,2,21,28,2,9,231,2,9,647,2,21,67,2,9,77,2,25,0,E,9,0,E,9,-2.0,A,7,-5.0,A,7,78,A,7,912,A,7,270,A,7,1.5,A,7,56300,B,7,77777,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,11:00,473,1415,330,2,9,839,2,21,48,2,9,347,2,9,771,2,21,88,2,9,109,2,25,0,E,9,0,E,9,0.0,A,7,-5.0,A,7,66,A,7,912,A,7,0,A,7,0.0,A,7,56300,B,7,77777,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,12:00,531,1415,378,2,9,813,2,21,72,2,9,390,2,9,760,2,21,103,2,9,140,2,25,0,E,9,0,E,9,2.0,A,7,-5.0,A,7,57,A,7,912,A,7,30,A,7,2.1,A,7,56300,B,7,6000,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,13:00,526,1415,341,2,9,630,2,21,105,2,9,350,2,9,583,2,21,132,2,9,197,2,25,1,E,9,1,E,9,2.0,A,7,-5.0,A,7,57,A,7,912,A,7,60,A,7,2.1,A,7,56300,B,7,5700,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,14:00,460,1415,324,2,9,804,2,21,61,2,9,333,2,9,731,2,21,95,2,9,119,2,25,1,E,9,1,E,9,3.0,A,7,-6.0,A,7,49,A,7,912,A,7,50,A,7,2.6,A,7,56300,B,7,77777,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,15:00,337,1415,227,2,9,761,2,21,45,2,9,233,2,9,638,2,21,80,2,9,88,2,25,2,E,9,1,E,9,3.0,A,7,-6.0,A,7,49,A,7,912,A,7,70,A,7,1.5,A,7,56300,B,7,77777,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,16:00,165,1415,27,2,9,0,2,21,27,2,9,31,2,9,0,2,21,31,2,9,98,2,25,1,E,9,1,E,9,2.0,A,7,-6.0,A,7,52,A,7,911,A,7,60,A,7,2.1,A,7,48300,B,7,77777,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,17:00,12,483,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,-2.0,A,7,-6.0,A,7,71,A,7,910,A,7,60,A,7,1.5,A,7,24100,B,7,77777,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-3.0,A,7,-6.0,A,7,77,A,7,910,A,7,350,A,7,2.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-4.0,A,7,-5.0,A,7,92,A,7,910,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-5.0,A,7,-6.0,A,7,92,A,7,909,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-6.0,A,7,-7.0,A,7,92,A,7,909,A,7,250,A,7,2.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-7.0,A,7,-8.0,A,7,92,A,7,908,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-6.0,A,7,-7.0,A,7,92,A,7,908,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/03/1999,24:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-8.0,A,7,-9.0,A,7,92,A,7,908,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/04/1999,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-7.0,A,7,-8.0,A,7,92,A,7,908,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/04/1999,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-9.0,A,7,-10.0,A,7,92,A,7,907,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/04/1999,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,-7.0,A,7,-8.0,A,7,92,A,7,908,A,7,0,A,7,0.0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/04/1999,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-7.0,A,7,-8.0,A,7,92,A,7,908,A,7,170,A,7,2.1,A,7,16100,B,7,3300,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/04/1999,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-6.0,A,7,-7.0,A,7,92,A,7,908,A,7,0,A,7,0.0,A,7,16100,B,7,3300,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/04/1999,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-6.0,A,7,-7.0,A,7,92,A,7,908,A,7,200,A,7,2.1,A,7,16100,B,7,3300,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/04/1999,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,7,E,9,-5.0,A,7,-7.0,A,7,84,A,7,909,A,7,280,B,8,1.5,A,7,16100,B,7,4500,A,7,0.9,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
01/04/1999,08:00,23,696,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,7,E,9,7,E,9,-6.0,A,7,-7.0,A,7,92,A,7,908,A,7,0,A,7,0.0,A,7,24100,B,7,5400,A,7,1.0,E,8,0.046,F,8,0.410,F,8,0,1,D,9,00,C,8
