# file...... TriplexLosses.csv
# date...... Mon Jun  6 13:46:09 2016
# user...... samsung
# host...... (null)
# group..... class=triplex_line
# trigger... (none)
# interval.. 3600
# limit..... 0
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2009-01-01 00:00:00 PST,+359.429,+111.998,+68.499,-17.0146,+0,+0
2009-01-01 01:00:00 PST,+129.466,-15.2904,+528.728,+153.033,+0,+0
2009-01-01 02:00:00 PST,+96.4079,-20.3956,+500.062,+150.184,+0,+0
2009-01-01 03:00:00 PST,+84.853,-21.7712,+486.64,+148.191,+0,+0
2009-01-01 04:00:00 PST,+178.709,+53.5649,+46.7701,-6.11502,+0,+0
2009-01-01 05:00:00 PST,+315.299,+89.707,+98.9578,-6.56031,+0,+0
2009-01-01 06:00:00 PST,+1911.51,+456.074,+1014.31,+74.3789,+0,+0
2009-01-01 07:00:00 PST,+1760.71,+474.882,+623.117,-14.2929,+0,+0
2009-01-01 08:00:00 PST,+813.966,+262.294,+123.154,-45.513,+0,+0
2009-01-01 09:00:00 PST,+334.126,+126.47,+74.2898,-6.1589,+0,+0
2009-01-01 10:00:00 PST,+205.041,+76.3958,+166.859,+34.6673,+0,+0
2009-01-01 11:00:00 PST,+169.331,+53.5026,+263.123,+66.0992,+0,+0
2009-01-01 12:00:00 PST,+153.087,+39.9165,+314.04,+81.8056,+0,+0
2009-01-01 13:00:00 PST,+136.356,+32.8972,+298.914,+78.0978,+0,+0
2009-01-01 14:00:00 PST,+115.04,+31.2583,+236.512,+61.8431,+0,+0
2009-01-01 15:00:00 PST,+144.917,+61.3821,+79.8833,+12.9352,+0,+0
2009-01-01 16:00:00 PST,+756.343,+250.53,+106.243,-48.9335,+0,+0
2009-01-01 17:00:00 PST,+1795.55,+558.036,+359.215,-90.5907,+0,+0
2009-01-01 18:00:00 PST,+2449.33,+762.853,+434.2,-128.023,+0,+0
2009-01-01 19:00:00 PST,+2326.49,+527.239,+1484.06,+162.523,+0,+0
2009-01-01 20:00:00 PST,+2049.54,+459.179,+1336.99,+152.889,+0,+0
2009-01-01 21:00:00 PST,+1683.99,+368.95,+1159.62,+143.743,+0,+0
2009-01-01 22:00:00 PST,+1214.18,+244.729,+998.317,+151.423,+0,+0
2009-01-01 23:00:00 PST,+625.278,+96.391,+766.642,+154.839,+0,+0
2009-01-02 00:00:00 PST,+375.413,+115.953,+75.4111,-16.7918,+0,+0
2009-01-02 01:00:00 PST,+219.396,+66.9095,+51.6706,-8.72563,+0,+0
2009-01-02 02:00:00 PST,+176.982,+53.8967,+43.6125,-6.76586,+0,+0
2009-01-02 03:00:00 PST,+161.927,+49.3424,+40.0022,-6.15857,+0,+0
2009-01-02 04:00:00 PST,+179.541,+53.7923,+47.1515,-6.10589,+0,+0
2009-01-02 05:00:00 PST,+327.661,+92.3084,+107.729,-5.48673,+0,+0
2009-01-02 06:00:00 PST,+903.203,+244.639,+326.838,-6.27128,+0,+0
2009-01-02 07:00:00 PST,+1790.26,+481.379,+641.552,-12.4173,+0,+0
2009-01-02 08:00:00 PST,+1569.75,+439.514,+474.075,-31.8339,+0,+0
2009-01-02 09:00:00 PST,+469.812,+166.102,+72.3948,-22.4912,+0,+0
2009-01-02 10:00:00 PST,+432.859,+156.475,+52.4276,-25.1762,+0,+0
2009-01-02 11:00:00 PST,+337.067,+128.852,+45.7249,-16.7967,+0,+0
2009-01-02 12:00:00 PST,+255.629,+101.422,+51.4958,-6.58028,+0,+0
2009-01-02 13:00:00 PST,+231.338,+90.5216,+48.3611,-5.82356,+0,+0
